tab	samples												
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes
CB1-2	CB1	0	Extrusive:Igneous	Lava Flow	Basalt		227	0	19.7	381.7	-70	This study	SO-CMD-NORTH
CB1-3	CB1	0	Extrusive:Igneous	Lava Flow	Basalt		198	0	19.7	381.7	-39	This study	SO-CMD-NORTH
CB1-4	CB1	0	Extrusive:Igneous	Lava Flow	Basalt		245	0	19.7	381.7	-102	This study	SO-CMD-NORTH
CB1-5	CB1	0	Extrusive:Igneous	Lava Flow	Basalt		159	0	19.7	381.7	-16	This study	SO-CMD-NORTH
CB1-6	CB1	0	Extrusive:Igneous	Lava Flow	Basalt		239	0	19.7	381.7	-94	This study	SO-CMD-NORTH
CB1-7	CB1	0	Extrusive:Igneous	Lava Flow	Basalt		252	0	19.7	381.7	-80	This study	SO-CMD-NORTH
CB1-8	CB1	0	Extrusive:Igneous	Lava Flow	Basalt		21	0	19.7	381.7	-13	This study	SO-CMD-NORTH
CB2-1	CB2	0	Extrusive:Igneous	Lava Flow	Basalt		-1	0	19.7	381.7	-51	This study	SO-CMD-NORTH
CB2-2	CB2	0	Extrusive:Igneous	Lava Flow	Basalt		-9	0	19.7	381.7	-48	This study	SO-CMD-NORTH
CB2-3	CB2	0	Extrusive:Igneous	Lava Flow	Basalt		10	0	19.7	381.7	-53	This study	SO-CMD-NORTH
CB2-4	CB2	0	Extrusive:Igneous	Lava Flow	Basalt		57	0	19.7	381.7	-38	This study	SO-CMD-NORTH
CB2-5	CB2	0	Extrusive:Igneous	Lava Flow	Basalt		246	0	19.7	381.7	-79	This study	SO-CMD-NORTH
CB2-6	CB2	0	Extrusive:Igneous	Lava Flow	Basalt		6	0	19.7	381.7	-45	This study	SO-CMD-NORTH
CB2-7	CB2	0	Extrusive:Igneous	Lava Flow	Basalt		172	0	19.7	381.7	-35	This study	SO-CMD-NORTH
CB2-8	CB2	0	Extrusive:Igneous	Lava Flow	Basalt		53	0	19.7	381.7	-33	This study	SO-CMD-NORTH
CB3-1	CB3	0	Extrusive:Igneous	Lava Flow	Basalt		-63	0	19.7	381.7	-60	This study	SO-CMD-NORTH
