pole_name,age,age_high,age_low,age_unit,age_uncertainty,citations,dir_alpha95,dir_polarity,dir_dec,dir_inc,dir_n_specimens,geologic_classes,geologic_types,height,lat,lithologies,location,lon,site,vgp_lat,vgp_lon,pole_name,dir_k,dir_n_samples,dir_tilt_correction,dir_r,vgp_lat_rev,vgp_lon_rev,vgp_dm,vgp_dp,paleolatitude
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,Swanson-Hysell et al. 2014,5.6,r,121.2,-64.4,6.0,Extrusive:Igneous,Lava Flow,2383.5,48.7458,Basalt,Simpson Island,272.3789,SI8(47.5 to 56.7),-51.182283971597855,21.627890413587807,Osler reverse upper,,,,,51.182283971597855,201.6278904135878,,,-46.22167953854198
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,Swanson-Hysell et al. 2014,2.7,r,103.3,-69.6,8.0,Extrusive:Igneous,Lava Flow,2398.9,48.7456,Basalt,Simpson Island,272.3777,SI8(62.9 to 84.4),-43.9282357458523,38.628779110721894,Osler reverse upper,,,,,43.9282357458523,218.6287791107219,,,-53.358375359280394
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,Swanson-Hysell et al. 2014,4.3,r,80.9,-66.0,8.0,Extrusive:Igneous,Lava Flow,2420.4,48.7453,Basalt,Simpson Island,272.3761,SI8(84.4 to 102.6),-29.478638219453256,43.41184104892068,Osler reverse upper,,,,,29.478638219453256,223.41184104892068,,,-48.31629796496779
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,"Halls, 1974",,r,106.1,-44.2,,Extrusive:Igneous,Lava Flow,,48.661051,Basalt,"Osler Volcanics, Nipigon Strait, Lower Reversed",271.948459,6,-29.540888724665017,8.653302233549368,Osler reverse upper,70.0,5.0,100.0,,29.540888724665017,188.65330223354937,,,-25.930353341702023
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,"Halls, 1974",,r,109.8,-62.4,,Extrusive:Igneous,Lava Flow,,48.678061,Basalt,"Osler Volcanics, Nipigon Strait, Lower Reversed",271.97532,7,-42.90020395458514,23.816622097751008,Osler reverse upper,351.0,6.0,100.0,,42.90020395458514,203.816622097751,,,-43.72368002531006
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,"Halls, 1974",,r,140.7,-64.8,,Extrusive:Igneous,Lava Flow,,48.680014,Basalt,"Osler Volcanics, Nipigon Strait, Lower Reversed",271.973994,8,-63.77760755992499,12.735742120782845,Osler reverse upper,679.0,5.0,100.0,,63.77760755992499,192.73574212078285,,,-46.73716019507929
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,"Halls, 1974",,r,110.0,-56.6,,Extrusive:Igneous,Lava Flow,,48.676652,Basalt,"Osler Volcanics, Nipigon Strait, Lower Reversed",271.940536,9,-39.32495687702747,16.487854548680275,Osler reverse upper,321.0,3.0,100.0,,39.32495687702747,196.48785454868028,,,-37.17267129056394
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,"Halls, 1974",,r,128.2,-42.0,,Extrusive:Igneous,Lava Flow,,48.664307,Basalt,"Osler Volcanics, Nipigon Strait, Lower Reversed",271.930409,10,-42.89645000894653,349.9339017495524,Osler reverse upper,59.0,5.0,100.0,,42.89645000894653,169.93390174955238,,,-24.237370383549177
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,"Halls, 1974",,r,88.3,-59.1,,Extrusive:Igneous,Lava Flow,,48.657548,Basalt,"Osler Volcanics, Nipigon Strait, Lower Reversed",271.928069,11,-27.795124048241497,31.800334776776026,Osler reverse upper,456.0,3.0,100.0,,27.795124048241497,211.80033477677603,,,-39.876702331428326
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,"Halls, 1974",,r,118.6,-48.9,,Extrusive:Igneous,Lava Flow,,48.65743,Basalt,"Osler Volcanics, Nipigon Strait, Lower Reversed",271.921876,12,-40.36658915348851,3.1757920007644316,Osler reverse upper,240.0,5.0,100.0,,40.36658915348851,183.17579200076443,,,-29.819642553796932
